dataset,image,psnr_winner,ssim_winner,bitrate_winner,filesize_winner
kodak,kodim01.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim02.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim03.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim04.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim05.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim06.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim07.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim08.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim09.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim10.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim11.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim12.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim13.png,Wavelet,Wavelet,Fractal,Fractal
kodak,kodim14.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim15.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim16.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim17.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim18.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim19.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim20.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim21.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim22.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim23.png,Wavelet,Wavelet,Wavelet,Wavelet
kodak,kodim24.png,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,4.1.01.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,4.1.02.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,4.1.03.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,4.1.04.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,4.1.05.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,4.1.06.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,4.1.07.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,4.1.08.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,4.2.01.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,4.2.03.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,4.2.05.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,4.2.06.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,4.2.07.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,5.1.09.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,5.1.10.tiff,Wavelet,Wavelet,Fractal,Fractal
standard_test,5.1.11.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,5.1.12.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,5.1.13.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,5.1.14.tiff,Wavelet,Wavelet,Wavelet,Wavelet
standard_test,5.2.08.tiff,Wavelet,Wavelet,Wavelet,Wavelet
